from,to ,position,year_start,year_end,year_total,current,management,relation,region,,,,,,,,,,,,,,,,,
89,59,Ausbildung,1994,1998,4,1,1,1,Hannover,,,,,,,,,,,,,,,,,
89,59,Industriemechaniker,1998,1999,1,1,1,1,Hannover,,,,,,,,,,,,,,,,,
89,59,Industriemechaniker,2000,2002,2,1,1,1,Hannover,,,,,,,,,,,,,,,,,
89,91,Trainee,2006,2007,1,1,1,1,Frankfurt,,,,,,,,,,,,,,,,,
89,91,Gewerkschaftssekretär,2007,2016,9,1,1,1,Hannover,,,,,,,,,,,,,,,,,
89,91,Kassierer,2016,2017,1,1,1,1,Hannover,,,,,,,,,,,,,,,,,
89,91,Zweiter Bevollmächtigter,2017,2023,6,1,1,1,Hannover,,,,,,,,,,,,,,,,,
89,91,Erster Bevöllmächtigter,2023,2025,2,2,1,1,Hannover,,,,,,,,,,,,,,,,,
88,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
89,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
92,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
92,71,Ausbildung,1985,1988,3,1,1,1,Augsburg,,,,,,,,,,,,,,,,,
92,91,Weiterbildung,1997,2024,NA,1,1,1,NA,,,,,,,,,,,,,,,,,
92,71,Zerspanungsmechaniker,1988,2017,29,1,1,1,Rheine,,,,,,,,,,,,,,,,,
92,71,Betriebsratvorsitzender,2017,2025,7,2,1,1,Rheine,,,,,,,,,,,,,,,,,
92,71,Vorsitzender Wirtschaftsausschuss,2022,2025,3,2,1,1,Rheine,,,,,,,,,,,,,,,,,
93,94,Elektrotechnik,1996,1999,3,1,1,2,Stuttgart,,,,,,,,,,,,,,,,,
93,65,Aufsichtsrat,2024,2025,1,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
93,79,Positionen in Qualität und Einkauf,1999,2008,9,1,1,1,Stuttgart,,,,,,,,,,,,,,,,,
93,79,Leitung in div. Positionen,2008,2023,15,1,1,1,"Stuttgart, Peking,Sindelfingen",,,,,,,,,,,,,,,,,
93,95,Chief Operating Officer,2023,2025,2,2,2,1,München,,,,,,,,,,,,,,,,,
96,97,Business Administration,NA,2001,NA,1,1,2,Augsburg,,,,,,,,,,,,,,,,,
96,98,"Accountant, Leitung",2002,2008,6,1,1,1,"München,Augsburg",,,,,,,,,,,,,,,,,
96,71,Chief Accountant,2008,2013,5,1,1,1,Augsburg,,,,,,,,,,,,,,,,,
96,71,"Qualitätsmanager, Leitung in div. Pos.",2013,2023,10,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
96,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
99,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
99,94,Betriebswirtschaftslehre,2006,2009,3,1,1,2,"Stuttgart,London-UK",,,,,,,,,,,,,,,,,
